,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
38,ID 15884926,homeowner,https://www.cian.ru/rent/flat/301618461/,Москва,rent,flat,8,17,2,40.6,75000,0,, Большое Понизовье,7,Саларьево,
39,ID 71489222,unknown,https://www.cian.ru/rent/flat/297928314/,Москва,rent,flat,12,17,2,45.0,85000,0,, Лобановский Лес,13,Саларьево,
40,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/296283346/,Москва,rent,flat,14,18,2,49.0,106000,0,,проспект Прокшинский,12,Саларьево,
41,ID 12720633,realtor,https://www.cian.ru/rent/flat/294374735/,Москва,rent,flat,3,12,2,54.0,80000,0,, Картмазовские Пруды,2к3,Саларьево,
42,ID 99954688,homeowner,https://www.cian.ru/rent/flat/292895351/,Москва,rent,flat,4,4,2,37.0,60000,0,, Жемчужная,1к1,Саларьево,
43,ID 80376003,unknown,https://www.cian.ru/rent/flat/287811322/,Москва,rent,flat,3,3,2,82.0,85000,0,,,62,Саларьево,
44,PARTNER-ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/287620614/,Москва,rent,flat,8,9,2,52.0,60000,0,, Харлампиева,44,Саларьево,
45,ID 66877250,homeowner,https://www.cian.ru/rent/flat/282259076/,Москва,rent,flat,2,5,2,53.9,50000,0,Новая Москва, Центральная,8,Саларьево,
46,ID 12725804,unknown,https://www.cian.ru/rent/flat/281345685/,Москва,rent,flat,11,17,2,52.0,80000,0,Солнцево, Авиаторов,30,Саларьево,
47,Московские ключи,real_estate_agent,https://www.cian.ru/rent/flat/280512339/,Москва,rent,flat,21,22,2,59.0,62000,0,, Картмазовские Пруды,2к1,Саларьево,
48,DOORS AGENCY,real_estate_agent,https://www.cian.ru/rent/flat/307576851/,Москва,rent,flat,15,17,2,32.0,65000,0,,проспект Куприна,18к2,Потапово,
49,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307360988/,Москва,rent,flat,6,15,1,42.0,60000,0,, Малое Понизовье,10,Саларьево,
50,ID 81427696,unknown,https://www.cian.ru/rent/flat/301871495/,Москва,rent,flat,14,17,3,52.0,65000,0,, Сосенский Стан,11,Новомосковская,
51,Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/rent/flat/307273441/,Москва,rent,flat,4,14,2,70.0,65000,0,, Александры Монаховой,5к2,Ольховая,
52,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/274518468/,Москва,rent,flat,7,9,2,65.8,65000,0,, Сосенский Стан,3,Ольховая,
