,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
33,Изумрудный город,real_estate_agent,https://www.cian.ru/rent/flat/307042360/,Москва,rent,flat,9,19,2,66.0,65000,0,,,20,Прокшино,
34,YU HOME,real_estate_agent,https://www.cian.ru/rent/flat/306955860/,Москва,rent,flat,13,22,2,60.0,70000,0,, Картмазовские Пруды,2к1,Прокшино,
35,NDV Expert,real_estate_agent,https://www.cian.ru/rent/flat/306914334/,Москва,rent,flat,8,18,2,58.0,100000,0,, Лобановский Лес,13,Прокшино,
36,Жанна Толпарова,realtor,https://www.cian.ru/rent/flat/306529729/,Москва,rent,flat,2,12,2,70.0,75000,0,, Лазурная,5,Прокшино,
37,Марина Белова,realtor,https://www.cian.ru/rent/flat/306402356/,Москва,rent,flat,9,9,2,36.0,50000,0,, Усадебный Парк,3,Прокшино,
38,Rento.one,real_estate_agent,https://www.cian.ru/rent/flat/306368793/,Москва,rent,flat,14,19,2,49.2,90000,0,,проспект Прокшинский,11,Прокшино,
39,Rento.one,real_estate_agent,https://www.cian.ru/rent/flat/306368523/,Москва,rent,flat,4,19,2,42.0,90000,0,,проспект Прокшинский,9,Прокшино,
40,ID 29392171,realtor,https://www.cian.ru/rent/flat/306104668/,Москва,rent,flat,10,16,2,52.0,84990,0,, Лобановский Лес,11,Прокшино,
41,Павел Дудоладов,realtor,https://www.cian.ru/rent/flat/303551244/,Москва,rent,flat,8,17,2,66.0,70000,0,, Сосенский Стан,13,Прокшино,
42,ID 74719112,realtor,https://www.cian.ru/rent/flat/303179358/,Москва,rent,flat,2,9,2,48.0,75000,0,,бульвар Веласкеса,7к3,Прокшино,
43,ID 114149269,homeowner,https://www.cian.ru/rent/flat/301645546/,Москва,rent,flat,12,17,2,50.0,75000,0,, Ясная,1,Прокшино,
44,ID 24506165,homeowner,https://www.cian.ru/rent/flat/299034199/,Москва,rent,flat,5,14,2,60.0,65000,0,, Кварцевая,5к4,Прокшино,
45,ID 71489222,unknown,https://www.cian.ru/rent/flat/297928314/,Москва,rent,flat,12,17,2,45.0,85000,0,, Лобановский Лес,13,Прокшино,
46,ID 282410,unknown,https://www.cian.ru/rent/flat/297859089/,Москва,rent,flat,1,27,2,57.0,56000,0,, Фитаревская,17к1,Прокшино,
47,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/296283346/,Москва,rent,flat,14,18,2,49.0,106000,0,,проспект Прокшинский,12,Прокшино,
48,ID 35480,realtor,https://www.cian.ru/rent/flat/294425617/,Москва,rent,flat,13,19,2,42.0,70000,0,,проспект Прокшинский,9,Прокшино,
49,ID 99954688,homeowner,https://www.cian.ru/rent/flat/292895351/,Москва,rent,flat,4,4,2,37.0,60000,0,, Жемчужная,1к1,Прокшино,
50,Ринат Бекмуллин,realtor,https://www.cian.ru/rent/flat/291814078/,Москва,rent,flat,9,17,2,71.2,80000,0,,,20,Прокшино,
51,ID 52070392,homeowner,https://www.cian.ru/rent/flat/288195029/,Москва,rent,flat,10,17,2,51.0,85000,0,,проспект Прокшинский,12,Прокшино,
52,PARTNER-ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/287620614/,Москва,rent,flat,8,9,2,52.0,60000,0,, Харлампиева,44,Прокшино,
53,Анжелика Трубайчук,realtor,https://www.cian.ru/rent/flat/281753191/,Москва,rent,flat,4,16,2,65.3,85000,0,,проспект Магеллана,2,Прокшино,
54,Московские ключи,real_estate_agent,https://www.cian.ru/rent/flat/280512339/,Москва,rent,flat,21,22,2,59.0,62000,0,, Картмазовские Пруды,2к1,Прокшино,
55,ID 70651119,homeowner,https://www.cian.ru/rent/flat/253598710/,Москва,rent,flat,6,15,2,78.0,100000,0,, Сервантеса,3к2,Прокшино,
